name;category;calories;proteins;fats;carbohydrates
Гречка варёная;Крупы;110.0;4.2;1.1;21.3
Гречка варёная отварной;Крупы;104.5;4.2;0.99;20.23
Гречка варёная запечённый;Крупы;115.5;4.28;1.16;21.3
Гречка варёная тушёный;Крупы;110.0;4.12;1.16;20.45
Гречка варёная домашний;Крупы;118.8;4.2;1.23;21.73
Гречка варёная лёгкий;Крупы;90.2;4.2;0.77;20.23
Гречка варёная классический;Крупы;110.0;4.2;1.1;21.3
Гречка варёная с маслом;Крупы;137.5;4.12;1.76;20.87
Гречка варёная без масла;Крупы;93.5;4.2;0.72;20.87
Гречка варёная порционный;Крупы;110.0;4.2;1.1;21.3
Гречка сухая;Крупы;313.0;12.6;3.3;62.1
Гречка сухая отварной;Крупы;297.3;12.6;2.97;58.99
Гречка сухая запечённый;Крупы;328.7;12.85;3.46;62.1
Гречка сухая тушёный;Крупы;313.0;12.35;3.46;59.62
Гречка сухая домашний;Крупы;338.0;12.6;3.7;63.34
Гречка сухая лёгкий;Крупы;256.7;12.6;2.31;58.99
Гречка сухая классический;Крупы;313.0;12.6;3.3;62.1
Гречка сухая с маслом;Крупы;391.2;12.35;5.28;60.86
Гречка сухая без масла;Крупы;266.1;12.6;2.15;60.86
Гречка сухая порционный;Крупы;313.0;12.6;3.3;62.1
Рис белый варёный;Крупы;116.0;2.2;0.5;24.9
Рис белый варёный отварной;Крупы;110.2;2.2;0.45;23.65
Рис белый варёный запечённый;Крупы;121.8;2.24;0.53;24.9
Рис белый варёный тушёный;Крупы;116.0;2.16;0.53;23.9
Рис белый варёный домашний;Крупы;125.3;2.2;0.56;25.4
Рис белый варёный лёгкий;Крупы;95.1;2.2;0.35;23.65
Рис белый варёный классический;Крупы;116.0;2.2;0.5;24.9
Рис белый варёный с маслом;Крупы;145.0;2.16;0.8;24.4
Рис белый варёный без масла;Крупы;98.6;2.2;0.33;24.4
Рис белый варёный порционный;Крупы;116.0;2.2;0.5;24.9
Рис белый сухой;Крупы;344.0;6.7;0.7;78.9
Рис белый сухой отварной;Крупы;326.8;6.7;0.63;74.95
Рис белый сухой запечённый;Крупы;361.2;6.83;0.73;78.9
Рис белый сухой тушёный;Крупы;344.0;6.57;0.73;75.74
Рис белый сухой домашний;Крупы;371.5;6.7;0.78;80.48
Рис белый сухой лёгкий;Крупы;282.1;6.7;0.49;74.95
Рис белый сухой классический;Крупы;344.0;6.7;0.7;78.9
Рис белый сухой с маслом;Крупы;430.0;6.57;1.12;77.32
Рис белый сухой без масла;Крупы;292.4;6.7;0.45;77.32
Рис белый сухой порционный;Крупы;344.0;6.7;0.7;78.9
Рис бурый варёный;Крупы;111.0;2.6;0.9;22.8
Рис бурый варёный отварной;Крупы;105.4;2.6;0.81;21.66
Рис бурый варёный запечённый;Крупы;116.6;2.65;0.95;22.8
Рис бурый варёный тушёный;Крупы;111.0;2.55;0.95;21.89
Рис бурый варёный домашний;Крупы;119.9;2.6;1.01;23.26
Рис бурый варёный лёгкий;Крупы;91.0;2.6;0.63;21.66
Рис бурый варёный классический;Крупы;111.0;2.6;0.9;22.8
Рис бурый варёный с маслом;Крупы;138.8;2.55;1.44;22.34
Рис бурый варёный без масла;Крупы;94.3;2.6;0.59;22.34
Рис бурый варёный порционный;Крупы;111.0;2.6;0.9;22.8
Овсянка на воде;Крупы;88.0;3.0;1.7;15.0
Овсянка на воде отварной;Крупы;83.6;3.0;1.53;14.25
Овсянка на воде запечённый;Крупы;92.4;3.06;1.78;15.0
Овсянка на воде тушёный;Крупы;88.0;2.94;1.78;14.4
Овсянка на воде домашний;Крупы;95.0;3.0;1.9;15.3
Овсянка на воде лёгкий;Крупы;72.2;3.0;1.19;14.25
Овсянка на воде классический;Крупы;88.0;3.0;1.7;15.0
Овсянка на воде с маслом;Крупы;110.0;2.94;2.72;14.7
Овсянка на воде без масла;Крупы;74.8;3.0;1.1;14.7
Овсянка на воде порционный;Крупы;88.0;3.0;1.7;15.0
Овсяные хлопья сухие;Крупы;366.0;11.9;7.2;69.3
Овсяные хлопья сухие отварной;Крупы;347.7;11.9;6.48;65.83
Овсяные хлопья сухие запечённый;Крупы;384.3;12.14;7.56;69.3
Овсяные хлопья сухие тушёный;Крупы;366.0;11.66;7.56;66.53
Овсяные хлопья сухие домашний;Крупы;395.3;11.9;8.06;70.69
Овсяные хлопья сухие лёгкий;Крупы;300.1;11.9;5.04;65.83
Овсяные хлопья сухие классический;Крупы;366.0;11.9;7.2;69.3
Овсяные хлопья сухие с маслом;Крупы;457.5;11.66;11.52;67.91
Овсяные хлопья сухие без масла;Крупы;311.1;11.9;4.68;67.91
Овсяные хлопья сухие порционный;Крупы;366.0;11.9;7.2;69.3
Перловка варёная;Крупы;109.0;3.1;0.4;22.2
Перловка варёная отварной;Крупы;103.5;3.1;0.36;21.09
Перловка варёная запечённый;Крупы;114.5;3.16;0.42;22.2
Перловка варёная тушёный;Крупы;109.0;3.04;0.42;21.31
Перловка варёная домашний;Крупы;117.7;3.1;0.45;22.64
Перловка варёная лёгкий;Крупы;89.4;3.1;0.28;21.09
Перловка варёная классический;Крупы;109.0;3.1;0.4;22.2
Перловка варёная с маслом;Крупы;136.2;3.04;0.64;21.76
Перловка варёная без масла;Крупы;92.6;3.1;0.26;21.76
Перловка варёная порционный;Крупы;109.0;3.1;0.4;22.2
Пшено варёное;Крупы;114.0;3.5;1.0;23.7
Пшено варёное отварной;Крупы;108.3;3.5;0.9;22.51
Пшено варёное запечённый;Крупы;119.7;3.57;1.05;23.7
Пшено варёное тушёный;Крупы;114.0;3.43;1.05;22.75
Пшено варёное домашний;Крупы;123.1;3.5;1.12;24.17
Пшено варёное лёгкий;Крупы;93.5;3.5;0.7;22.51
Пшено варёное классический;Крупы;114.0;3.5;1.0;23.7
Пшено варёное с маслом;Крупы;142.5;3.43;1.6;23.23
Пшено варёное без масла;Крупы;96.9;3.5;0.65;23.23
Пшено варёное порционный;Крупы;114.0;3.5;1.0;23.7
Булгур варёный;Крупы;83.0;3.1;0.2;18.6
Булгур варёный отварной;Крупы;78.8;3.1;0.18;17.67
Булгур варёный запечённый;Крупы;87.2;3.16;0.21;18.6
Булгур варёный тушёный;Крупы;83.0;3.04;0.21;17.86
Булгур варёный домашний;Крупы;89.6;3.1;0.22;18.97
Булгур варёный лёгкий;Крупы;68.1;3.1;0.14;17.67
Булгур варёный классический;Крупы;83.0;3.1;0.2;18.6
Булгур варёный с маслом;Крупы;103.8;3.04;0.32;18.23
Булгур варёный без масла;Крупы;70.5;3.1;0.13;18.23
Булгур варёный порционный;Крупы;83.0;3.1;0.2;18.6
Кускус варёный;Крупы;112.0;3.8;0.2;23.2
Кускус варёный отварной;Крупы;106.4;3.8;0.18;22.04
Кускус варёный запечённый;Крупы;117.6;3.88;0.21;23.2
Кускус варёный тушёный;Крупы;112.0;3.72;0.21;22.27
Кускус варёный домашний;Крупы;121.0;3.8;0.22;23.66
Кускус варёный лёгкий;Крупы;91.8;3.8;0.14;22.04
Кускус варёный классический;Крупы;112.0;3.8;0.2;23.2
Кускус варёный с маслом;Крупы;140.0;3.72;0.32;22.74
Кускус варёный без масла;Крупы;95.2;3.8;0.13;22.74
Кускус варёный порционный;Крупы;112.0;3.8;0.2;23.2
Макароны варёные;Макароны;112.0;3.5;0.7;23.2
Макароны варёные отварной;Макароны;106.4;3.5;0.63;22.04
Макароны варёные запечённый;Макароны;117.6;3.57;0.73;23.2
Макароны варёные тушёный;Макароны;112.0;3.43;0.73;22.27
Макароны варёные домашний;Макароны;121.0;3.5;0.78;23.66
Макароны варёные лёгкий;Макароны;91.8;3.5;0.49;22.04
Макароны варёные классический;Макароны;112.0;3.5;0.7;23.2
Макароны варёные с маслом;Макароны;140.0;3.43;1.12;22.74
Макароны варёные без масла;Макароны;95.2;3.5;0.45;22.74
Макароны варёные порционный;Макароны;112.0;3.5;0.7;23.2
Макароны сухие;Макароны;344.0;10.4;1.1;71.5
Макароны сухие отварной;Макароны;326.8;10.4;0.99;67.92
Макароны сухие запечённый;Макароны;361.2;10.61;1.16;71.5
Макароны сухие тушёный;Макароны;344.0;10.19;1.16;68.64
Макароны сухие домашний;Макароны;371.5;10.4;1.23;72.93
Макароны сухие лёгкий;Макароны;282.1;10.4;0.77;67.92
Макароны сухие классический;Макароны;344.0;10.4;1.1;71.5
Макароны сухие с маслом;Макароны;430.0;10.19;1.76;70.07
Макароны сухие без масла;Макароны;292.4;10.4;0.72;70.07
Макароны сухие порционный;Макароны;344.0;10.4;1.1;71.5
Картофель варёный;Овощи;82.0;2.0;0.4;16.7
Картофель варёный отварной;Овощи;77.9;2.0;0.36;15.86
Картофель варёный запечённый;Овощи;86.1;2.04;0.42;16.7
Картофель варёный тушёный;Овощи;82.0;1.96;0.42;16.03
Картофель варёный домашний;Овощи;88.6;2.0;0.45;17.03
Картофель варёный лёгкий;Овощи;67.2;2.0;0.28;15.86
Картофель варёный классический;Овощи;82.0;2.0;0.4;16.7
Картофель варёный с маслом;Овощи;102.5;1.96;0.64;16.37
Картофель варёный без масла;Овощи;69.7;2.0;0.26;16.37
Картофель варёный порционный;Овощи;82.0;2.0;0.4;16.7
Картофель запечённый;Овощи;93.0;2.5;0.1;21.2
Картофель запечённый отварной;Овощи;88.3;2.5;0.09;20.14
Картофель запечённый запечённый;Овощи;97.7;2.55;0.11;21.2
Картофель запечённый тушёный;Овощи;93.0;2.45;0.11;20.35
Картофель запечённый домашний;Овощи;100.4;2.5;0.11;21.62
Картофель запечённый лёгкий;Овощи;76.3;2.5;0.07;20.14
Картофель запечённый классический;Овощи;93.0;2.5;0.1;21.2
Картофель запечённый с маслом;Овощи;116.2;2.45;0.16;20.78
Картофель запечённый без масла;Овощи;79.0;2.5;0.07;20.78
Картофель запечённый порционный;Овощи;93.0;2.5;0.1;21.2
Картофель жареный;Готовые блюда;192.0;2.8;9.5;23.4
Картофель жареный отварной;Готовые блюда;182.4;2.8;8.55;22.23
Картофель жареный запечённый;Готовые блюда;201.6;2.86;9.97;23.4
Картофель жареный тушёный;Готовые блюда;192.0;2.74;9.97;22.46
Картофель жареный домашний;Готовые блюда;207.4;2.8;10.64;23.87
Картофель жареный лёгкий;Готовые блюда;157.4;2.8;6.65;22.23
Картофель жареный классический;Готовые блюда;192.0;2.8;9.5;23.4
Картофель жареный с маслом;Готовые блюда;240.0;2.74;15.2;22.93
Картофель жареный без масла;Готовые блюда;163.2;2.8;6.17;22.93
Картофель жареный порционный;Готовые блюда;192.0;2.8;9.5;23.4
Морковь;Овощи;35.0;1.3;0.1;6.9
Морковь отварной;Овощи;33.2;1.3;0.09;6.55
Морковь запечённый;Овощи;36.8;1.33;0.11;6.9
Морковь тушёный;Овощи;35.0;1.27;0.11;6.62
Морковь домашний;Овощи;37.8;1.3;0.11;7.04
Морковь лёгкий;Овощи;28.7;1.3;0.07;6.55
Морковь классический;Овощи;35.0;1.3;0.1;6.9
Морковь с маслом;Овощи;43.8;1.27;0.16;6.76
Морковь без масла;Овощи;29.8;1.3;0.07;6.76
Морковь порционный;Овощи;35.0;1.3;0.1;6.9
